Scenario,Categories,Cities,Tourism_Types,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
1,"Garden, Library, Beach, Healing Oases & Sand Therapy, Island","El Gouna, Qena, Sohag, Beheira, New Valley","Religious and Spiritual Attractions, Cultural and Historical Attractions, Entertainment and Modern Attractions",1.0,0.8461538461538461,0.8428571428571429,0.7142857142857142
2,"Water Park, Theater, Natural Reserve, Monastery, Island","Red Sea, Cairo, Sharm El Sheikh","Medical Attractions, Natural Attractions",1.0,1.0,0.9,0.7142857142857143
3,"Fortress, Mosque, Synagogue","Qena, Sharqia, Beheira, Alexandria","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.8,0.8690476190476191,0.6666666666666667
4,"Theme Park, Temple, Tomb, Mosque","Fayoum, Assiut, Aswan","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Medical Attractions",1.0,0.7,0.8928571428571428,0.7619047619047619
5,"Beach, Fortress, Rehabilitation & Wellness Center, Theme Park, Museum","Sohag, Sharm El Sheikh, Cairo, North Coast, Fayoum","Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.8333333333333334,0.8428571428571429,0.7857142857142857
6,"Mountain, Beach, Tomb, Museum","Marsa Matrouh, Suez, Red Sea, Assiut, Cairo, North Coast","Medical Attractions, Natural Attractions",1.0,0.75,0.8214285714285714,0.75
7,"Temple, Museum","Cairo, Aswan, Fayoum","Religious and Spiritual Attractions, Natural Attractions",1.0,0.8571428571428571,0.9285714285714286,0.5714285714285714
8,"Water Park, Rehabilitation & Wellness Center, Zoo, Mountain","Marsa Matrouh, Red Sea, Sohag","Natural Attractions, Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.8,0.7857142857142857,0.5119047619047619
9,"Mountain, Library, Mosque, Historical Site","Alexandria, Qena, Red Sea, Luxor","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.9090909090909091,0.8571428571428572,0.7619047619047619
10,"Fortress, Shopping, Museum","Fayoum, Minya, Aswan","Entertainment and Modern Attractions, Medical Attractions",1.0,0.875,0.9285714285714285,0.7142857142857143
11,"Zoo, Shopping, Church, Tower, Rehabilitation & Wellness Center, Garden","Assiut, Qena, Beheira","Cultural and Historical Attractions, Entertainment and Modern Attractions",1.0,0.7272727272727273,0.9285714285714285,0.6428571428571428
12,"Library, Mosque","Sinai, Sohag, Red Sea, New Valley","Natural Attractions, Religious and Spiritual Attractions",1.0,0.75,0.7857142857142857,0.7142857142857143
13,"Aquarium, Healing Oases & Sand Therapy, Natural Reserve, Mosque, Temple, Mountain, Water Park","Sinai, Sharqia, Marsa Matrouh","Entertainment and Modern Attractions, Cultural and Historical Attractions, Religious and Spiritual Attractions",1.0,0.9230769230769231,0.7142857142857143,0.7261904761904762
14,"Theater, Mountain, Hot Spring","Aswan, Qena, Sharqia, Fayoum, Giza","Cultural and Historical Attractions, Natural Attractions, Entertainment and Modern Attractions",1.0,0.6363636363636364,0.7857142857142856,0.6190476190476191
15,"Garden, Beach, Church, Rehabilitation & Wellness Center, Museum, Tomb, Temple","Suez, Assiut, Alexandria, New Valley","Religious and Spiritual Attractions, Cultural and Historical Attractions",1.0,0.9230769230769231,0.7857142857142858,0.8571428571428571
16,"Historical Site, Natural Reserve, Museum, Beach, Shopping","Marsa Matrouh, Giza, Sohag, Beheira, Sharm El Sheikh","Entertainment and Modern Attractions, Natural Attractions, Medical Attractions",1.0,0.8461538461538461,0.9,0.7976190476190476
17,"Rehabilitation & Wellness Center, Museum, Theme Park, Hot Spring, Synagogue, Historical Site, Palace","Marsa Alam, Alexandria, Beni Suef, Aswan, Cairo","Medical Attractions, Natural Attractions",1.0,0.7857142857142857,0.7142857142857144,0.6428571428571428
18,"Hot Spring, Museum, Shopping, Natural Reserve, Palace, Water Park, Theme Park","Suez, Red Sea, Sharqia, Beni Suef, North Coast, Minya","Religious and Spiritual Attractions, Cultural and Historical Attractions, Entertainment and Modern Attractions",1.0,0.9375,0.7857142857142858,0.8095238095238095
19,"Palace, Garden, Tower, Zoo, Museum, Healing Oases & Sand Therapy, Island","Alexandria, Beni Suef, Sinai, North Coast","Natural Attractions, Religious and Spiritual Attractions",1.0,0.8461538461538461,0.7857142857142858,0.6071428571428571
20,"Aquarium, Mountain, Museum, Library, Synagogue, Theater","Dahab, El Gouna, Sinai, Cairo, Red Sea","Religious and Spiritual Attractions, Cultural and Historical Attractions, Natural Attractions",1.0,0.9285714285714286,0.8095238095238095,0.8095238095238095
21,"Healing Oases & Sand Therapy, Zoo, Shopping, Tomb, Temple, Aquarium, Library","Giza, El Gouna, Sharqia, Sohag","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.7692307692307693,0.7142857142857144,0.75
22,"Mountain, Rehabilitation & Wellness Center, Historical Site","Marsa Matrouh, Red Sea, Fayoum, Suez","Entertainment and Modern Attractions, Natural Attractions, Cultural and Historical Attractions",1.0,0.8,0.8333333333333333,0.7738095238095238
23,"Hot Spring, Zoo, Mountain, Fortress","Beni Suef, Red Sea, Aswan, Sinai","Medical Attractions, Natural Attractions, Religious and Spiritual Attractions",1.0,0.8181818181818182,0.8214285714285714,0.6904761904761905
24,"Theme Park, Water Park, Shopping, Natural Reserve","Alexandria, Marsa Alam, Giza","Cultural and Historical Attractions, Natural Attractions",1.0,1.0,0.9285714285714286,0.6785714285714286
25,"Library, Museum, Theater, Rehabilitation & Wellness Center, Cultural Center","Sinai, Fayoum, Beheira, Cairo","Religious and Spiritual Attractions, Natural Attractions, Cultural and Historical Attractions",1.0,0.9166666666666666,0.7357142857142858,0.619047619047619
26,"Beach, Historical Site, Rehabilitation & Wellness Center, Tower, Fortress, Synagogue","Assiut, Marsa Matrouh, Sohag, Dahab","Religious and Spiritual Attractions, Cultural and Historical Attractions, Medical Attractions",1.0,1.0,0.9285714285714285,0.8571428571428571
27,"Palace, Church, Shopping, Mosque","Hurghada, Aswan, Sharm El Sheikh, Sharqia","Natural Attractions, Medical Attractions",1.0,0.8,0.8214285714285714,0.6071428571428572
28,"Synagogue, Water Park, Monastery","Beni Suef, Dahab, New Valley, North Coast, Alexandria","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Natural Attractions",1.0,0.6363636363636364,0.9285714285714285,0.6190476190476191
29,"Natural Reserve, Synagogue, Fortress, Theme Park","Minya, Giza, Sharm El Sheikh, Red Sea, Hurghada, Luxor","Medical Attractions, Natural Attractions",1.0,0.8333333333333334,0.9285714285714286,0.6785714285714286
30,"Theater, Palace","Sinai, Minya, Giza","Cultural and Historical Attractions, Natural Attractions, Entertainment and Modern Attractions",1.0,0.625,0.75,0.33333333333333326
31,"Mosque, Theater, Library","North Coast, Assiut, Sohag, Marsa Alam, Giza, Luxor","Medical Attractions, Natural Attractions",0.9285714285714286,0.8181818181818182,0.7619047619047619,0.6071428571428571
32,"Church, Zoo, Fortress","Qena, Beni Suef, New Valley, Sharqia","Cultural and Historical Attractions, Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.7,0.9047619047619048,0.8333333333333333
33,"Healing Oases & Sand Therapy, Theme Park, Palace, Garden, Library","Giza, Assiut, Qena, Marsa Matrouh","Cultural and Historical Attractions, Medical Attractions",1.0,0.9090909090909091,0.8285714285714285,0.75
34,"Natural Reserve, Island, Hot Spring, Temple, Zoo","Giza, Dahab, Sohag, Sinai, Luxor, Assiut","Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.7692307692307693,0.8428571428571429,0.7857142857142857
35,"Fortress, Tomb, Historical Site, Water Park, Library, Healing Oases & Sand Therapy, Natural Reserve","Marsa Matrouh, Beheira, Sohag, Cairo","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Medical Attractions",1.0,0.9285714285714286,0.7857142857142858,0.6428571428571428
36,"Library, Monastery, Healing Oases & Sand Therapy","New Valley, Sohag, Red Sea, El Gouna, Sharm El Sheikh, Fayoum","Entertainment and Modern Attractions, Medical Attractions",1.0,0.7272727272727273,0.8690476190476191,0.75
37,"Tower, Natural Reserve, Palace","Suez, Qena, Sinai, Hurghada, El Gouna","Cultural and Historical Attractions, Entertainment and Modern Attractions, Religious and Spiritual Attractions",1.0,0.6363636363636364,0.8690476190476191,0.7261904761904762
38,"Fortress, Temple, Museum, Theme Park","Fayoum, Qena, Marsa Matrouh","Entertainment and Modern Attractions, Medical Attractions",1.0,0.7777777777777778,0.9285714285714286,0.6785714285714286
39,"Palace, Theme Park, Shopping, Historical Site","Red Sea, Sharm El Sheikh, Giza, Suez","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Medical Attractions",1.0,0.6363636363636364,0.9285714285714286,0.5476190476190477
40,"Cultural Center, Fortress, Museum, Mountain, Tower, Synagogue, Water Park","Sohag, Fayoum, Marsa Alam, Qena, Red Sea, Sharm El Sheikh","Entertainment and Modern Attractions, Religious and Spiritual Attractions, Natural Attractions",1.0,0.8125,0.7857142857142857,0.6547619047619047
41,"Island, Theater, Mountain, Monastery","Beheira, Qena, Sinai, Giza, Alexandria","Natural Attractions, Entertainment and Modern Attractions, Religious and Spiritual Attractions",1.0,0.75,0.7857142857142857,0.7380952380952381
42,"Shopping, Island, Historical Site, Temple, Water Park","Sohag, Sharm El Sheikh, Giza","Entertainment and Modern Attractions, Natural Attractions, Medical Attractions",1.0,0.8181818181818182,0.8428571428571429,0.6190476190476191
43,"Natural Reserve, Mosque, Cultural Center, Aquarium, Shopping","Marsa Matrouh, Dahab, Fayoum, North Coast, Beni Suef, Cairo","Cultural and Historical Attractions, Medical Attractions, Natural Attractions",1.0,0.8571428571428571,0.8285714285714286,0.5833333333333333
44,"Zoo, Natural Reserve, Monastery, Theme Park, Healing Oases & Sand Therapy, Theater, Synagogue","Suez, Hurghada, Red Sea, Sohag","Entertainment and Modern Attractions, Cultural and Historical Attractions, Medical Attractions",1.0,0.8571428571428571,0.7857142857142858,0.6904761904761905
45,"Hot Spring, Aquarium, Fortress, Healing Oases & Sand Therapy, Zoo, Historical Site","Suez, Alexandria, Marsa Matrouh, Giza, Qena","Medical Attractions, Entertainment and Modern Attractions",1.0,0.8461538461538461,0.9285714285714285,0.7857142857142857
46,"Natural Reserve, Island, Theme Park, Museum, Water Park, Cultural Center","Beheira, Fayoum, Assiut","Religious and Spiritual Attractions, Natural Attractions",1.0,0.8181818181818182,0.8809523809523809,0.75
47,"Theme Park, Mountain, Temple, Garden, Church, Synagogue","Assiut, Minya, Aswan, Beheira","Medical Attractions, Entertainment and Modern Attractions, Natural Attractions",1.0,0.7692307692307693,0.9285714285714285,0.6904761904761905
48,"Synagogue, Shopping, Museum","Dahab, Suez, Beni Suef","Cultural and Historical Attractions, Medical Attractions",1.0,0.5,0.9285714285714285,0.7142857142857143
49,"Island, Tower, Synagogue, Temple, Church, Theme Park","Sharqia, Hurghada, Giza, Cairo","Entertainment and Modern Attractions, Natural Attractions",1.0,0.9166666666666666,0.9285714285714285,0.7857142857142857
50,"Water Park, Tower, Historical Site, Aquarium, Healing Oases & Sand Therapy","Hurghada, Sohag, Fayoum","Entertainment and Modern Attractions, Religious and Spiritual Attractions",1.0,0.7,0.7714285714285714,0.6785714285714286
