Scenario,Categories,Cities,Tourism_Types,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
1,"Mountain, Synagogue, Island, Rehabilitation & Wellness Center, Monastery, Beach, Tower, Healing Oases & Sand Therapy",Beni Suef,Religious and Spiritual Attractions,1.0,0.9,0.75,0.75
2,"Water Park, Aquarium, Hot Spring, Monastery, Museum, Zoo, Natural Reserve, Island",Red Sea,Medical Attractions,1.0,1.0,0.75,0.6071428571428572
3,"Fortress, Mosque, Synagogue, Garden, Theater, Rehabilitation & Wellness Center, Mountain","Qena, Sharqia","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.8181818181818182,0.7857142857142858,0.7857142857142857
4,"Theme Park, Temple, Tomb, Mosque, Shopping, Palace, Mountain, Library",Fayoum,"Religious and Spiritual Attractions, Cultural and Historical Attractions",1.0,1.0,0.7321428571428571,0.7857142857142857
5,"Zoo, Cultural Center, Beach, Theater, Mountain, Museum, Tower, Rehabilitation & Wellness Center",Sohag,Medical Attractions,1.0,1.0,0.6785714285714286,0.5714285714285714
6,"Healing Oases & Sand Therapy, Fortress, Theme Park, Water Park, Museum, Mountain, Theater, Palace",Marsa Matrouh,"Medical Attractions, Natural Attractions, Religious and Spiritual Attractions",1.0,0.9166666666666666,0.75,0.6428571428571428
7,"Temple, Museum, Mountain, Beach, Rehabilitation & Wellness Center, Healing Oases & Sand Therapy",Cairo,"Religious and Spiritual Attractions, Natural Attractions, Entertainment and Modern Attractions",1.0,0.9,0.7738095238095237,0.7142857142857142
8,"Water Park, Rehabilitation & Wellness Center, Zoo, Mountain, Hot Spring, Theme Park, Church, Island",Marsa Matrouh,"Cultural and Historical Attractions, Natural Attractions",1.0,1.0,0.8214285714285714,0.7142857142857143
9,"Mountain, Library, Mosque, Historical Site, Tower, Natural Reserve, Beach","Alexandria, Qena","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.9090909090909091,0.8571428571428572,0.6785714285714286
10,"Fortress, Shopping, Museum, Rehabilitation & Wellness Center, Church, Zoo, Healing Oases & Sand Therapy, Island",Fayoum,Entertainment and Modern Attractions,1.0,1.0,0.7321428571428572,0.7142857142857143
11,"Zoo, Shopping, Church, Tower, Rehabilitation & Wellness Center, Garden",Assiut,"Cultural and Historical Attractions, Entertainment and Modern Attractions, Religious and Spiritual Attractions",1.0,1.0,0.8452380952380951,0.8095238095238095
12,"Library, Mosque, Garden, Cultural Center, Tower, Temple","Sinai, Sohag","Natural Attractions, Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.8181818181818182,0.8095238095238095,0.75
13,"Aquarium, Healing Oases & Sand Therapy, Natural Reserve, Mosque, Temple, Mountain, Water Park",Sinai,"Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,1.0,0.75,0.6785714285714286
