Scenario,Categories,Cities,Tourism_Types,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
1,"Mountain, Synagogue, Island, Rehabilitation & Wellness Center, Monastery, Beach, Tower, Healing Oases & Sand Therapy","Beni Suef, Hurghada, Qena, Marsa Matrouh, Minya, Sharm El Sheikh, Marsa Alam","Religious and Spiritual Attractions, Natural Attractions, Entertainment and Modern Attractions",1.0,0.8333333333333334,0.6964285714285714,0.6190476190476191
2,"Water Park, Aquarium, Hot Spring, Monastery, Museum, Zoo, Natural Reserve, Island","Red Sea, Cairo, Sharm El Sheikh, Aswan, Hurghada, North Coast, Luxor","Natural Attractions, Cultural and Historical Attractions, Medical Attractions",1.0,0.8888888888888888,0.75,0.7857142857142856
3,"Fortress, Mosque, Theme Park, Aquarium, Beach, Mountain, Shopping, Theater","Sharqia, Beheira, Minya, Red Sea, Suez","Natural Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.875,0.75,0.8809523809523809
4,"Fortress, Shopping, Hot Spring, Palace, Mountain, Synagogue, Mosque, Temple, Library","Fayoum, Assiut, Aswan","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Medical Attractions",1.0,0.9333333333333333,0.753968253968254,0.7142857142857142
5,"Beach, Palace, Theme Park, Hot Spring, Museum, Cultural Center, Mountain, Shopping","Sohag, Sharm El Sheikh, Cairo, North Coast, Fayoum","Medical Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.875,0.8035714285714286,0.7261904761904762
6,"Museum, Tomb, Beach, Library, Temple, Zoo","Sharm El Sheikh, Hurghada, Red Sea, Dahab","Religious and Spiritual Attractions, Natural Attractions, Cultural and Historical Attractions",1.0,0.8461538461538461,0.8809523809523809,0.5833333333333333
7,"Island, Cultural Center, Synagogue, Museum, Mountain, Natural Reserve, Shopping, Tower","Cairo, Aswan, Dahab, North Coast, Sinai","Religious and Spiritual Attractions, Natural Attractions, Entertainment and Modern Attractions",1.0,0.875,0.7321428571428572,0.7261904761904762
8,"Water Park, Rehabilitation & Wellness Center, Zoo, Mountain, Hot Spring, Theme Park, Church, Island","Marsa Matrouh, Red Sea, Sohag, Suez, Luxor, Alexandria, El Gouna","Entertainment and Modern Attractions, Religious and Spiritual Attractions, Medical Attractions",1.0,0.7777777777777778,0.8035714285714286,0.7619047619047619
9,"Mountain, Library, Mosque, Historical Site, Tower, Natural Reserve","Alexandria, Qena, Red Sea, Luxor","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.9230769230769231,0.9285714285714285,0.8333333333333333
10,"Fortress, Shopping, Museum, Rehabilitation & Wellness Center, Church, Zoo, Healing Oases & Sand Therapy, Island","Fayoum, Minya, Aswan","Natural Attractions, Medical Attractions, Cultural and Historical Attractions",1.0,0.9285714285714286,0.75,0.7261904761904762
