Scenario,Categories,Cities,Tourism_Types,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
1,"Garden, Library, Beach, Healing Oases & Sand Therapy, Island, Mountain","El Gouna, Qena, Sohag, Beheira, New Valley","Religious and Spiritual Attractions, Cultural and Historical Attractions",1.0,0.8461538461538461,0.8809523809523809,0.6428571428571428
2,"Water Park, Theater, Natural Reserve, Monastery, Island, Garden","Red Sea, Cairo, Sharm El Sheikh",Medical Attractions,1.0,1.0,0.8095238095238095,0.6071428571428572
3,"Fortress, Mosque, Synagogue, Garden","Qena, Sharqia, Beheira, Alexandria","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.8,0.8928571428571428,0.8571428571428572
4,"Theme Park, Temple, Tomb, Mosque, Shopping","Fayoum, Assiut, Aswan","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.8,0.8428571428571429,0.7857142857142857
5,"Beach, Fortress, Rehabilitation & Wellness Center, Theme Park, Museum, Cultural Center","Sohag, Sharm El Sheikh, Cairo, North Coast, Fayoum",Entertainment and Modern Attractions,1.0,0.75,0.8095238095238095,0.6428571428571428
6,"Mountain, Beach, Tomb, Museum, Shopping","Marsa Matrouh, Suez, Red Sea, Assiut, Cairo, North Coast",Medical Attractions,1.0,0.8333333333333334,0.8642857142857143,0.5714285714285714
7,"Temple, Museum, Mountain","Cairo, Aswan, Fayoum",Religious and Spiritual Attractions,1.0,0.8571428571428571,0.8452380952380952,0.6071428571428572
8,"Water Park, Rehabilitation & Wellness Center, Zoo, Mountain, Hot Spring","Marsa Matrouh, Red Sea, Sohag","Natural Attractions, Religious and Spiritual Attractions",1.0,0.9,0.7714285714285714,0.6071428571428571
9,"Mountain, Library, Mosque, Historical Site, Tower","Alexandria, Qena, Red Sea, Luxor","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.9090909090909091,0.9,0.75
10,"Fortress, Shopping, Museum, Rehabilitation & Wellness Center","Fayoum, Minya, Aswan",Entertainment and Modern Attractions,1.0,0.875,0.8928571428571428,0.6785714285714286
