Scenario,Categories,Cities,Tourism_Types,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
1,"Mountain, Synagogue, Island, Rehabilitation & Wellness Center, Monastery, Beach","Beni Suef, Hurghada","Religious and Spiritual Attractions, Medical Attractions",1.0,0.9,0.9285714285714285,0.7857142857142857
2,"Water Park, Aquarium, Hot Spring, Monastery, Museum, Zoo","Red Sea, Cairo","Medical Attractions, Natural Attractions",1.0,1.0,0.9285714285714285,0.7142857142857143
3,"Fortress, Mosque, Synagogue, Garden, Theater","Qena, Sharqia, Beheira","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.9090909090909091,0.8285714285714285,0.8095238095238095
4,"Theme Park, Temple, Tomb, Mosque, Shopping, Palace","Fayoum, Assiut","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Medical Attractions",1.0,0.7272727272727273,0.9285714285714285,0.6904761904761905
5,"Beach, Palace, Theme Park, Hot Spring, Museum, Cultural Center","Sohag, Sharm El Sheikh","Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.9,0.8809523809523809,0.8214285714285714
6,"Mountain, Beach, Tomb, Museum, Shopping, Temple","Marsa Matrouh, Suez, Red Sea","Medical Attractions, Natural Attractions",1.0,0.7272727272727273,0.9285714285714285,0.7142857142857143
7,"Temple, Museum, Mountain, Beach","Cairo, Aswan","Religious and Spiritual Attractions, Natural Attractions",1.0,1.0,0.8214285714285714,0.6785714285714286
8,"Water Park, Rehabilitation & Wellness Center, Zoo, Mountain, Hot Spring, Theme Park","Marsa Matrouh, Red Sea","Natural Attractions, Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.9090909090909091,0.8809523809523809,0.5476190476190476
9,"Mountain, Library, Mosque, Historical Site, Tower, Natural Reserve, Beach","Alexandria, Qena, Red Sea","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.9230769230769231,0.7857142857142857,0.75
10,"Fortress, Shopping, Museum, Rehabilitation & Wellness Center, Church, Zoo","Fayoum, Minya","Entertainment and Modern Attractions, Medical Attractions",1.0,0.9,0.9285714285714285,0.7857142857142857
11,"Zoo, Shopping, Church, Tower","Assiut, Qena","Cultural and Historical Attractions, Entertainment and Modern Attractions",1.0,0.75,0.9285714285714286,0.6071428571428572
12,"Hot Spring, Mosque, Cultural Center, Library, Palace, Garden, Zoo","New Valley, North Coast, Sharqia","Natural Attractions, Religious and Spiritual Attractions",1.0,0.9166666666666666,0.7857142857142858,0.6785714285714286
13,"Aquarium, Healing Oases & Sand Therapy, Natural Reserve, Mosque, Temple","Sinai, Sharqia","Entertainment and Modern Attractions, Cultural and Historical Attractions, Religious and Spiritual Attractions",1.0,0.9,0.8428571428571429,0.7619047619047619
14,"Theater, Mountain, Hot Spring, Theme Park, Palace","Aswan, Qena","Cultural and Historical Attractions, Natural Attractions, Entertainment and Modern Attractions",1.0,0.9,0.8428571428571429,0.8333333333333333
15,"Garden, Beach, Church, Rehabilitation & Wellness Center, Museum","Suez, Assiut, Alexandria","Religious and Spiritual Attractions, Cultural and Historical Attractions",1.0,1.0,0.9,0.7857142857142857
16,"Historical Site, Natural Reserve, Museum, Beach, Shopping, Island, Synagogue","Marsa Matrouh, Giza","Entertainment and Modern Attractions, Natural Attractions, Medical Attractions",1.0,0.9166666666666666,0.8571428571428572,0.7857142857142856
17,"Rehabilitation & Wellness Center, Museum, Theme Park, Hot Spring, Synagogue","Marsa Alam, Alexandria","Medical Attractions, Natural Attractions",1.0,0.7777777777777778,0.8428571428571429,0.7142857142857143
18,"Hot Spring, Museum, Shopping, Natural Reserve, Palace","Suez, Red Sea, Sharqia","Religious and Spiritual Attractions, Cultural and Historical Attractions, Entertainment and Modern Attractions",1.0,1.0,0.9,0.7619047619047619
